
 alpha             beta            gamma           k       noise           iteration                       D1_rel          D2_rel         Boudnary_1       Boundary_2 
 1.0e-06 	 & 1.0e+01 	 & 1.0e-02 	 & 20 	 & 0.000 	 & 130                       	 & +0.145 	 & -0.008 	 & +0.009 	 & +0.014 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e-02 	 & 20 	 & 0.300 	 & 145                       	 & +0.158 	 & -0.002 	 & +0.010 	 & +0.015 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e-02 	 & 20 	 & 0.975 	 & 123                       	 & +0.430 	 & -0.125 	 & +0.023 	 & +0.023 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+00 	 & 5 	 & 0.000 	 & 435                       	 & +0.261 	 & +0.034 	 & +0.088 	 & +0.084 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+00 	 & 5 	 & 0.300 	 & 466                       	 & +0.268 	 & +0.031 	 & +0.090 	 & +0.085 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+00 	 & 5 	 & 0.975 	 & 659                       	 & +0.503 	 & +0.014 	 & +0.095 	 & +0.092 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+00 	 & 10 	 & 0.000 	 & 205                       	 & +0.190 	 & +0.013 	 & +0.022 	 & +0.024 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+00 	 & 10 	 & 0.300 	 & 238                       	 & +0.203 	 & +0.005 	 & +0.022 	 & +0.025 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+00 	 & 10 	 & 0.975 	 & 393                       	 & +0.457 	 & -0.068 	 & +0.029 	 & +0.031 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+00 	 & 20 	 & 0.000 	 & 163                       	 & +0.146 	 & -0.009 	 & +0.009 	 & +0.013 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+00 	 & 20 	 & 0.300 	 & 179                       	 & +0.160 	 & -0.016 	 & +0.010 	 & +0.014 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+00 	 & 20 	 & 0.975 	 & 215                       	 & +0.408 	 & -0.065 	 & +0.016 	 & +0.022 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+02 	 & 5 	 & 0.000 	 & 2001                       	 & +0.261 	 & +0.037 	 & +0.088 	 & +0.085 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+02 	 & 5 	 & 0.300 	 & 2001                       	 & +0.280 	 & +0.028 	 & +0.087 	 & +0.085 \\ 
 1.0e-06 	 & 1.0e+01 	 & 1.0e+02 	 & 5 	 & 0.975 	 & 2001                       	 & +0.340 	 & +0.008 	 & +0.090 	 & +0.086 \\ 
